SLC30A2	TFAP2A	GLDC	FDX1	ART4	LYPD3	SYT5	GCM1	FAM25A	PSG6	PSG9	NLRP7	SLC18A3	SLC27A6	MYPN	group
0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.693147180559945	0.693147180559945	0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0.693147180559945	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	1.09861228866811	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.693147180559945	0	0	0.693147180559945	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0.693147180559945	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.6094379124341	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.38629436111989	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0.693147180559945	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0.693147180559945	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	1.09861228866811	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0.693147180559945	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0.693147180559945	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	1.09861228866811	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.38629436111989	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0.693147180559945	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0.693147180559945	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	1.09861228866811	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0.693147180559945	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	1.38629436111989	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	2
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	1.09861228866811	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	2
0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
0	0.693147180559945	0	0.693147180559945	0	0	0	0	0	0	0	0	0	0	0	1
